name,county,town,official_address
Rukenya Dispensary,Tharaka Nithi,Marimanti,P.O Box 5 Marimanti
Rumangao Dispensary,Taita Taveta,Saghalla,P.O Box 37
Sabor Forest Dispensary,Elgeyo Marakwet,Iten,P.O Box 332
Sagaighu Dispensary,Taita Taveta,Wundanyi,P.O Box 1216
Sagala Health Centre,Taita Taveta,Saghala,P.O Box 91
Sangekoro Dispensary,Taita Taveta,Werugha,P.O Box 27
Sangurur Dispensary,Elgeyo Marakwet,,
Sarova Hotels,Taita Taveta,Mwatate,
Sego Dispensary,Elgeyo Marakwet,Iten,
Segut Dispensary,Elgeyo Marakwet,,
Sere Clinic,Taita Taveta,Wundanyi,P.O Box Private bag
Sergoit Dispensary (Keiyo),Elgeyo Marakwet,Iten,P.O Box 332
Shelemba,Taita Taveta,Voi,P.O Box 68
Sisiya Dispensary,Elgeyo Marakwet,Kapsowar,P.O Box P.O. Box 63
St Joseph Mission Dispensary Chumvini,Taita Taveta,Chumvivi,P.O Box 2020
St Joseph's Shelter of Hope,Taita Taveta,VOI,P.O Box 286
St Michael Dispensary,Elgeyo Marakwet,Kapsowar,P.O Box  218
ST. Jerome Medical Clinic,Tharaka Nithi,Chuka,
Sumbeiywet Dispensary,Elgeyo Marakwet,,
Sunshine Medical Clinic,Tharaka Nithi,Chogoria,P.O Box 108
Taita Taveta Beyond Zero Campaign Clinic,Taita Taveta,Wundanyi,P.O Box 1216
Tambach Sub-District Hospital,Elgeyo Marakwet,Tambach,P.O. Box 331
Tambach T T College Dispensary,Elgeyo Marakwet,Iten,
Tausa Health Centre,Taita Taveta,Tausa,P.O Box 132
Taveta District Hospital,Taita Taveta,Taveta,P.O Box P.O. Box 31
Taveta Meditech Centre,Taita Taveta,Taveta,P.O Box P.O. Box 31
Teber Dispensary,Elgeyo Marakwet,ITEN,
Tenden Dispensary,Elgeyo Marakwet,Kapcherop,P.O Box 10
Tenderwa Dispensary,Elgeyo Marakwet,,
Toror Medical Clinic,Elgeyo Marakwet,Iten,
Tot Sub-District Hospital,Elgeyo Marakwet,Tot,P.O Box P.O. Box 10
Tumaini Clinic Voi,Taita Taveta,Voi,
Tuturung Dispensary,Elgeyo Marakwet,,
Ushirika Medical Clinic Maara,Tharaka Nithi,Chogoria,P.O Box 190
Uturini Community Dispensary,Tharaka Nithi,Chiakariga,P.O Box 11
Uzima Medical Clinic (Chuka),Tharaka Nithi,Chuka,P.O Box 8
Vigombonyi SDA Clinic,Taita Taveta,Wundanyi,Private Bag Wundanyi
Village Hope Core International,Tharaka Nithi,Chogoria,P.O Box 191
Wananchi Medical Clinic Maara,Tharaka Nithi,Chogoria,P.O Box 65
Weru Dispensary,Tharaka Nithi,Chuka,P.O Box 8
Werugha Health Centre,Taita Taveta,Werugha,P.O Box 1216
Wesu District Hospital,Taita Taveta,Wundanyi,P.O Box 1022
Wundanyi GK Prisons,Taita Taveta,Wundanyi,P.O Box 1038
Wundanyi Sub-District Hospital,Taita Taveta,Wundanyi,P.O Box 1216
Wusi-Wutesia (ACK) Dispensary,Taita Taveta,Mwatate,P.O Box 85
Ziwani Dispensary,Taita Taveta,Taveta,P.O Box P.O. Box 31
